1,995,6108,1985,22,Fitzgerald,Francis Scott,Příběhy pata Hobbyho,
1,622,3909,1971,21,Fitzgerald,Francis Scott,Na prahu ráje,
1,421,,,22,Flaubert,Gustave,Salambo,
1,531,3659,1969,21,Flaubert,Gustave,Paní Bovaryová,
1,530,3658,1969,19,Flaubert,Gustave,Paní Bovaryová,
1,475,,,26,Flaubert,Gustave,Citová výchova,
1,1304,7530,2008,199,Fontaine,Jean De La,Bajky,
1,1325,7561,1977,0,France,Anatole,Ostrov Tučňáků,
1,935,5920,1984,29,Francis,Dick,Hra na fanty,
1,973,6051,1985,25,Francis,Dick,Hra s čísly,
1,397,,,19,Flaubert  a další,Gustave,Deset francouzských novel,
1,437,,,16,Frank,Bruno,Cervantes,
1,657,40890,1975,24,Forster,Edward Morgan,Cesta do Indie,
1,490,5449,,29,Forsyth,Frederick,Den pro Šakala,
1,800,5476,,18,Fürnberg,Louis,Dovolená,
1,1208,,,,Galsworthy,John,"Sága rodu Forsytů I., II., III.",
1,93,471,,50,Galsworthy,John,Sága rodu Forsytů,
1,92,420,1957,50,Galsworthy,John,Moderní komedie,
1,1301,7523,1970,0,Galsworthy,John,Tmavý květ,
1,96,379,1952,10,Gamarra,Pierre,Šeříky na Saint-Lazare,
1,470,,,8,Gamarra,Pierre,Vrah dostal Goncourta,
1,1042,6332,1986,23,Gardner,Erle Stanley,Případ křičící ženy,
1,732,5292,1979,18,Gardner,Erle Stanley,Případ prázdné plechovky,
1,778,5424,,24,Gardner,Erle Stanley,Případ světélkujících prstů,
1,1173,7154,1990,20,Gary,Romain,Lady L.,
1,875,5816,1984,22,Degenhardt,Franz Josef,Zanedbání povinné péče,
1,100,,,16,Gercen,Alexandr Ivanovič,S druhého břehu,
1,99,,,16,Gercen,Alexandr Ivanovič,S druhého břehu,
1,855,,1982,28,Gilbert,Michael,Etruská poušť,
1,1040,6330,1986,26,Gilbert,Michael,Smrt má hluboké kořeny,
1,710,5238,1978,10,Ginzburg,Natalia,Milý Michale,
1,956,6005,1985,30,Giono,Jean,Husar na střeše,
1,1070,6418,,22,Giroud,Francoise,Úctyhodná žena,
1,399,,,91,Gladkov,Fjodor,Energie,
1,1007,6151,1986,25,Glückselig,Josef,Živý kontraband,
1,444,,,24,Gogol,Nikolaj Vasiljevič,Večery na samotě u Dikaňky,
1,658,4036,1973,24,Gogol,Nikolaj Vasiljevič,Taras Bulba,
1,657,4035,1973,24,Gogol,Nikolaj Vasiljevič,Taras Bulba,
1,103,544,,10,Gogol,Nikolaj Vasiljevič,Taras Bulba,
1,1036,6315,1986,15,Gogol,Nikolaj Vasiljevič,Taras Bulba,
1,656,4034,1973,24,Gogol,Nikolaj Vasiljevič,Taras Bulba,
1,1037,6316,1986,10,Gogol,Nikolaj Vasiljevič,Mrtvé duše,
1,776,5409,,20,Gomez - Arcos,Augustin,Anna jde na sever,
